اسم المشروع,نوع المنافسة,حالة المشروع,الرقم المرجعي ,اسم المورد,تاريخ أمر الشراء,تاريخ توقيع العقد,مدة العقد
ترقية وتطوير وتوسعة نظام مراقبة التطبيقات,منافسة عامة,تحت التنفيذ,211239464902,فرع شركة برق النظم لخدمات التفنية التجارية,2022-03-10,2022-04-10,24
توريد اشتراكات مراجع معلومات وأدوات تحليلية,منافسة عامة,تحت التنفيذ,211239465114, منطق حديث لتقنية المعلومات,2022-02-27,2022-03-24,12
دعم أعمال تشغيل وصيانة ونظافة لأنظمة فحص الحاويات والشاحنات,منافسة عامة,تحت التنفيذ,211239465908, شركة اي جي اند جي الشرق الاوسط,2022-01-23,2022-03-03,1
توريد بطاقات الكترونية قارئة البصمة للتحكم بالدخول والخروج من المبنى,منافسة عامة,تحت التنفيذ,211239467724,شركة المعالم الدوليه للتقنيه المحدودة,2022-02-08,,1
أعمال التشغيل و صيانة ونظافة أفران لحرق المواد السامة و أجهزة تكسير العبوات الزجاجية,منافسة عامة,تحت التنفيذ,211239467313,  مؤسسه مصفوفه الانظمه للمقاولات,2022-04-14,2022-06-15,36
مشروع تجديد إشتراك نظام معاك (افيلو),منافسة عامة,تحت التنفيذ,211239468686,الشركة العربية لخدمات الانترنت والاتصالات,2022-02-28,2022-04-10,24
إقامة معارض ومؤتمرات محلية ودولية,منافسة عامة,تحت التنفيذ,211239469606,وكالة وقت العرض للدعاية والاعلان ,2022-03-10,2022-04-07,12
التسويق الرقمي,منافسة عامة,تحت التنفيذ,211239470345,شركة فيرون المحدودة,2022-02-06,2022-02-28,12
بطاقات الموظفين,منافسة عامة,تحت التنفيذ,211239469989, مؤسسة دخول للتجارة,2022-02-17,2022-03-24,12
خدمات تصوير وتغطيات,منافسة عامة,تحت التنفيذ,211239470916,سيرفسز ليمتد,2022-03-28,2022-04-21,12
أعمال تصاميم,منافسة عامة,تحت التنفيذ,211239470902, وكالة رايات العلامات للدعاية,2022-04-19,2022-06-15,12
توريد وتركيب متطلبات تغطية شبكة لاسلكية في خمسة منافذ جمركية,منافسة عامة,تحت التنفيذ,211239471338, مؤسسة دار دلتا للتقنيه المعلومات,2022-03-17,2022-05-26,15
طباعة نماذج الاعمال في منافذ وفروع الهيئة,منافسة عامة,تحت التنفيذ,211239471160, وكالة وقت العرض للدعاية والاعلان,2022-04-25,2022-06-15,12
زيادة الطاقة الاستيعابية للخوادم,منافسة عامة,تحت التنفيذ,220139476094,  شركة الخليج للأنظمة,2022-04-25,2022-06-23,12
