اسم المشروع,نوع المنافسة,حالة المشروع,الرقم المرجعي ,اسم المورد,تاريخ أمر الشراء,تاريخ توقيع العقد,مدة العقد
تصميم نظام إدارة الإيرادات الضريبية,منافسة عامة,الضمان النهائي,230139880987,شركة ديلويت اند توش الشرق الاوسط المحدودة,2023-05-22,,8
مشروع توفير رخص تعلم الكترونية للغة الانجليزية,منافسة عامة,تحت التنفيذ,230139877438,شركة اي اف اديوكيشن فيرست المحدودة,2023-03-12,2023-05-04,12
نظافة وصيانة وتشغيل المباني الجمركية وملحقاتها بميناء جازان,منافسة عامة,الضمان النهائي,230239884077,شركة مور سيف للمقاولات,2023-05-08,,36
توريد وتركيب وتشغيل اجهزة معطرات الجو,منافسة عامة,تحت التنفيذ,230239885746,شركة حياة عطرية المحدودة,2023-03-12,2023-05-01,1
التأمين على بعض سيارات هيئة الزكاة والضريبة والجمارك,منافسة عامة,تحت التنفيذ,230239886242,شركة الراجحي للتامين التعاوني تكافل الراجحي,2023-03-12,2023-04-06,12
تطوير بيئة ضمان الجودة لمحرك المخاطر,منافسة عامة,تحت التنفيذ,230239891313,الشركة العربية لخدمات الانترنت والاتصالات,2023-03-13,2023-05-01,3
توريد وتأمين وتجهيز مركبات لنقل الوسائل الحية,منافسة عامة,تحت التنفيذ,230239890054,مصنع الجابرين للصناعات الحديدية والالمنيوم,2023-04-10,2023-05-11,4
تصميم وتنفيذ تحسينات على نظام إيراد (المرحلة الرابعة),منافسة عامة,توقيع العقد,230239889390,شركه انفينيو لحلول الاعمال,2023-04-05,,6
 الأعمال التحسينية العاجلة بمنفذ الخفجي,منافسة عامة,الضمان النهائي,230339906814,شركة رايسي للتجارة والمقاولات المحدودة,2023-05-07,,12
توريد شرائح بيانات واجهزة راوتر,منافسة عامة,تحت التنفيذ,230239898645,شركه الاتصالات السعودية,2023-03-19,2023-05-04,12
توريد أجهزة شبكات للمنافذ الجمركية,منافسة عامة,تحت التنفيذ,230239900330,شركة أسس الحماية الرقمية لتقنية المعلومات,2023-03-30,2023-05-01,2
أنشطة وفعاليات داخلية,منافسة عامة,تحت التنفيذ,230239899809,وكالة وقت العرض للدعاية والاعلان,2023-04-12,2023-05-11,12
المسح ميداني للأنظمة الأمنية للمدن,منافسة عامة,الضمان النهائي,230339924652,شركة تحريز الأمنية,2023-05-16,,12
توريد أجهزة وملحقات شبكة 1,منافسة عامة,الضمان النهائي,230439932257,شركه ام دي اس لأنظمه الحاسب الالي,2023-06-06,,9
تطوير الداتا سنتر في المنافذ البرية,منافسة عامة,الضمان النهائي,230239902211,شركة التقنية والخدمات المتطورة,2023-05-14,,18
توريد وتركيب وتشغيل اجهزة مانع انقطاع التيار الكهربائي في المنافذ البرية,منافسة عامة,الضمان النهائي,230239900320,شركة بيت الاجادة للتجارة والتقنية,2023-05-24,,36
توريد وتركيب طابعة وبطاقات ذكية للموظفين وملصقات للمركبات مع تقديم الدعم الفني,منافسة عامة,تحت التنفيذ,230239903128,شركة المعالم الدولية للتقنية المحدودة,2023-03-22,2023-05-01,12
تشغيل صالة الحجاج بالوديعة والربع الخالي,منافسة عامة,تحت التنفيذ,230239902295,شركة أرض التجهيزات للمقاولات,2023-03-22,2023-04-13,6
"مشروع تجديد التراخيص والدعم للأنظمة والبرامج (Veritas,Adobe,LogmeIn)",منافسة عامة,تحت التنفيذ,230239904745,فرع شركه دايمنشن داتا بي تي واي ليمتد - شركة درع السحابة للاتصالات,2023-04-03,2023-05-12,1
مشروع تجديد الدعم لنظام إيراد,منافسة عامة,الضمان النهائي,230239898936,شركه انفينيو لحلول الاعمال,2023-05-15,,12
توريد وتركيب مضخات التكييف وملحقاتها,منافسة عامة,تحت التنفيذ,230339905639,الشركة العربية للحماية والتدعيم,2023-04-03,2023-04-13,2
تأمين الحراسات الأمنية للمدن السكنية والإدارية بالمنافذ في عدة مواقع انحاء المملكة العربية السعودية,منافسة عامة,تحت التنفيذ,230239898511,الشركة العربية لخدمات الامن والسلامة امنكو,2023-05-07,2023-06-06,12
توضيب شواحن لمحطة توليد الرقعي,منافسة عامة,تحت التنفيذ,230339906299,شركه المركز الآلي السعودي لقطع الغيار المحدودة,2023-04-10,2023-05-29,6
مشروع توريد رخص إضافية لبرنامج Tableau,منافسة عامة,الضمان النهائي,230339906814,شركه اجاده للنظم المحدودة,2023-05-22,,12
مشروع تحسين إدارة بيانات الموظفين,منافسة عامة,تحت التنفيذ,230339910350,شركة اكسنتشر السعودية المحدودة,2023-04-13,2023-06-06,6
ترقية وحدة التخزين للبيئة الفعلية 2023,منافسة عامة,الضمان النهائي,230339915203,شركة النهل للحاسب الآلي,2023-06-01,,12
توريد شرائح بيانات,منافسة عامة,الضمان النهائي,230339915101,شركه الاتصالات السعودية,2023-05-04,,12
ترقية وحدة التخزين للبيئة الغير فعلية,منافسة عامة,الضمان النهائي,230339916443,شركة النهل للحاسب الآلي,2023-05-14,,12
توسعة وحدة التخزين (NAS Storage) في مراكز البيانات,منافسة عامة,الضمان النهائي,230339915194,شركة النهل للحاسب الآلي,2023-05-10,,12
عقد مناولة منافذ المنطقة الشمالية ( الحديثة – الدرة– حالة عمار - جديدة عرعر),منافسة عامة,الضمان النهائي,230339912371,مؤسسة ثروات المجد للمقاولات العامة,2023-06-01,,12
تجديد تراخيص أنظمة أمن المعلومات,منافسة عامة,الضمان النهائي,230339928872,شركة معالم الحلول لتقنية المعلومات - شركة أسس الحماية الرقمية لتقنية المعلومات - شركه العرض المتقن للخدمات التجارية,2023-06-05,,6
مشروع تحديث أجهزة الشبكة في مركز البيانات الرئيسي,منافسة عامة,الضمان النهائي,230339927573,شركة أسس الحماية الرقمية لتقنية المعلومات,2023-06-01,,24
مشروع إعادة تأمين دائرتي اتصال انترنت أساسية لمراكز بيانات الهيئة,منافسة عامة,الضمان النهائي,230339930371,الهدف من المشروع : مراقبة تنفيذ المشاريع عن طريق الكاميرات بإمكانية التقاط 360 درجة,2023-05-22,,12
تجديد الدعم الفني والرخص لتطبيق Terra data و CVM (Greeter),منافسة عامة,الضمان النهائي,230339921497,شركة الاعمال البارعة لتقنية المعلومات - فرع الشركة السعودية للحاسبات الإلكترونية المحدودة,2023-05-29,,24
توريد وتنفيذ خيمة الحجاج في منفذ الخفجي البري,منافسة عامة,الضمان النهائي,230439937433,مؤسسة ثروات المجد للمقاولات العامة,2023-05-15,,2
"توريد وتامين ""46"" وسيلة حية للمركز الوطني للوسائل الحية بهيئة الزكاة والضريبة والجمارك",منافسة عامة,الضمان النهائي,230439938823,مؤسسة قلعة الحيوان التجارية,2023-05-22,,8
توريد مياه صالحة للشرب لمنفذ الربع الخالي,منافسة عامة,الضمان النهائي,230439941764,مؤسسة ثروات المجد للمقاولات العامة,2023-05-29,,12
تجديد الاشتراك في منصة سبراوت سوشيال,منافسة عامة,الضمان النهائي,230539954024,مؤسسة التلال العصرية للاتصالات و تقنية المعلومات,2023-06-04,,12
