,اسم المشروع,نوع المنافسة,حالة المشروع,الرقم المرجعي ,اسم المورد,تاريخ أمر الشراء,تاريخ توقيع العقد,مدة العقد
89,تأهيل وترميم الدور الثالث بمبنى فرع الهيئة والصالة الشاملة بالميناء والمطار بمدينة الدمام,منافسة عامة,تحت التنفيذ,220339522606, مؤسسة ارمادا العالمية للمقاولات الع,2022-04-24,2022-06-09,2
90,مشروع استمرارية تشغيل منصة الفوترة الإلكترونية,منافسة عامة,تحت التنفيذ,220339528796,الشركة العربية لخدمات الانترنت والاتصالات,2022-07-05,2022-09-01,24
91,مشروع اعمال أنظمة مكافحة وانذار الحريق بمنفذ الدرة,منافسة عامة,تحت التنفيذ,220339529454,شركة ابراهيم بن محمد بن علي عطيف,2022-07-28,2022-09-13,15
92,تأهيل وترميم مبنى الركاب بمنفذ الوديعة,منافسة عامة,تحت التنفيذ,220339529199, شركة الصخور العربية للصناعة,2022-06-22,2022-08-03,4
93,تحسينات نظام الأمانة العامة للجان الزكوية والضريبية والجمركية,منافسة عامة,تحت التنفيذ,220339529028,شركة اجادة للنظم المحدودة,2022-06-09,2022-07-20,18
94,تأهيل وترميم الصالة الشاملة بالميناء الجاف والمطار بمدينة الرياض,منافسة عامة,تحت التنفيذ,220339529938, مؤسسة ارمادا العالمية للمقاولات الع,2022-06-09,2022-08-11,2
95,نظافة وصيانة وتشغيل مجمعات الوسائل الرقابية لعدد من المطارات وملحقاتها,منافسة عامة,تحت التنفيذ,220339530283,مؤسسة بناء الحجاز للمقاولات العامة,2022-07-05,2022-09-13,36
96,مشروع دعم وصيانة الشبكة غير الفعالة لهيئة الزكاة و الضريبة والجمارك وفروعها,منافسة عامة,تحت التنفيذ,220439536206, شركة دار دلتا للتقنيه المعلومات,2022-06-21,2022-08-29,24
97,خدمات التوظيف الالكترونية,منافسة عامة,تحت التنفيذ,220339535448, شركة جوين العالمية,2022-05-24,2022-08-03,36
98,مشروع تهيئة وتطوير البنية التحتية التقنية بالمنافذ الجمركية – المرحلة الثانية,منافسة عامة,تحت التنفيذ,220439536558,شركه بعد للاتصالات السلكيه واللاسلكيه المحدوده,2022-07-05,2022-08-21,60
99,نظافة وصيانة وتشغيل مجمعات الوسائل الرقابية لعدد من المنافذ البرية وملحقاتها,منافسة عامة,تحت التنفيذ,220339530310,مؤسسة بناء الحجاز للمقاولات العامة,2022-07-05,2022-09-13,36
100,مشروع تهيئة وتطوير البنية التحتية التقنية بالمنافذ الجمركية – المرحلة الثالثة,منافسة عامة,تحت التنفيذ,220439536579, شركة دار دلتا للتقنيه المعلومات,2022-07-24,2022-08-31,60
101,مشروع تهيئة وتطوير البنية التحتية التقنية بالمنافذ الجمركية – المرحلة الاولى,منافسة عامة,تحت التنفيذ,220439536532, شركة ام دي اس لأنظمة الحاسب,2022-06-12,2022-07-20,60
102,نظافة وصيانة وتشغيل مجمعات الوسائل الرقابية لعدد من الموانئ وملحقاتها,منافسة عامة,تحت التنفيذ,220439535832,الشركة السعودية للتطوير العمراني,2022-07-05,2022-09-01,36
103,عقد نظافة وصيانة وتشغيل مبنى إدارة جمرك ميناء ضباء وملحقاته,منافسة عامة,تحت التنفيذ,220439540269, مؤسسه حامد سعود العتيبي للمقاولات,2022-06-06,2022-08-03,36
104,استقطاب ملاحظين حظائر,منافسة عامة,تحت التنفيذ,220439539549,الشركة السعودية للتطوير العمراني,2022-06-08,2022-08-11,18
105,خدمات مدارة لتنفيذ حلول أنظمة امن المعلومات,منافسة عامة,تحت التنفيذ,220439552080,شركة المساعدة للحلول الأمنية للاتصالات وتقنية المعلومات,2022-10-17,2022-11-20,24
106,عقد مناولة منفذ جمرك جسر الملك فهد,منافسة عامة,تحت التنفيذ,220439536900,مؤسسه رائد صالح الصيعري للمقاولات,2022-08-05,2022-09-13,12
107,مشروع تنفيذ تحسينات وتجديد رخص نظام إدارة دورة حياة التطبيقات Atlassian (JIRA),منافسة عامة,تحت التنفيذ,220439536409,شركة انفوسيستا دي دبليوسي,2022-06-08,2022-08-13,12
108,تطوير وتشغيل محطات العمل الهندسية لنظام المعلومات الجغرافية وأعمال الرفع الهندسي,منافسة عامة,تحت التنفيذ,220439542271, شركة جي بي سي العالمية للاتصالات,2022-08-17,2022-09-26,24
109,دعم وتحسين أنظمة الساس,منافسة عامة,تحت التنفيذ,220439543145, شركة أركي للتقنية,2022-06-21,2022-08-18,12
110,مشروع تنفيذ قسم الوسائل الحية بمطار نيوم,منافسة عامة,تحت التنفيذ,220439543982, اعمار طبريه للتجارة والمقاولات,2022-08-10,2022-10-11,24
111,تطوير منصة التكامل والربط,منافسة عامة,تحت التنفيذ,220439547171,شركة اجادة للنظم المحدودة,2022-07-18,2022-08-21,14
112,أعمال التشغيل وصيانة ونظافة أجهزة التحقق من الخصائص الحيوية بالمنافذ الجمركية 2022,منافسة عامة,تحت التنفيذ,220439547170, شركة مدينة الأعمال المحدودة,2022-06-12,2022-06-30,12
113,صيانة ونظافة وتشغيل فرع الهيئة بالإدارة العامة وفرع الهيئة بالرياض,منافسة عامة,تحت التنفيذ,220339530083, شركة المخالد للتجارة والمقاولات,2022-08-16,2022-09-13,36
114,تنفيذ نظام إدارة الأصول البرمجية والرخص,منافسة عامة,تحت التنفيذ,220439548581,شركة اجادة للنظم المحدودة,2022-07-26,2022-08-31,8
115,التحريز بالمنافذ الجمركية,منافسة عامة,تحت التنفيذ,220439547798,مؤسسه طريق الذكاء للتجارة,2022-07-03,2022-08-07,2
116,زيادة الطاقة الاستيعابية للخوادم في مراكز البيانات,منافسة عامة,تحت التنفيذ,220439548951,الشركة الوطنية لأنظمة الحاسب الالي,2022-07-18,2022-08-31,9
117,تأمين الحراسات الأمنية لمبنى الإدارة العامة وفروع ومستودعات الهيئة والأمانات العامة للجان الزكوية والضريبية والجمركية,منافسة عامة,تحت التنفيذ,220439543383, امنكو للحول الامنية,2022-09-08,2022-10-16,12
118,مشروع رفع الطاقة الاستيعابية لمنفذ سلوى – المرحلة الأولى,منافسة عامة,تحت التنفيذ,220439551041, اعمار طبريه للتجارة والمقاولات,2022-06-09,2022-06-29,4
119,مشروع رفع الطاقة الاستيعابية لمنفذ سلوى – المرحلة الثانية,منافسة عامة,تحت التنفيذ,220439551050, اعمار طبريه للتجارة والمقاولات,2022-06-09,2022-06-29,4
120,خدمات الإعاشة لموظفي منفذ الربع الخالي,منافسة عامة,تحت التنفيذ,220339520356,شركة أعمال المرافق المحدودة,2022-07-28,2022-09-05,12
121,تأهيل وتطوير مباني الجوازات بمنفذ سلوى,منافسة عامة,تحت التنفيذ,220439551035,شركة آل مترك للمقاولات,2022-06-07,2022-06-29,4
122,تأهيل وترميم مباني المعاينين (الشمالي والجنوبي) بميناء جدة الاسلامي,منافسة عامة,تحت التنفيذ,220439553608, مؤسسة إعمار نجد للمقاولات,2022-06-26,2022-08-03,3
123,تأهيل وترميم الصالة الشاملة في ميناء الجبيل ورأس تنورة,منافسة عامة,تحت التنفيذ,220439553609,شركة درع التطوير للتجارة,2022-05-26,2022-06-16,2
124,عقد مناولة جمرك منفذ الحديثة,منافسة عامة,تحت التنفيذ,220439553604, شركة قائم للمقاولات,2022-07-27,2022-08-25,12
125,مشروع تحسينات منصة ضريبة التصرفات العقارية والدعم الفني,منافسة عامة,تحت التنفيذ,220439554399,شركة اجادة للنظم المحدودة,2022-07-05,2022-08-25,12
